"","Sepal_Length","Sepal_Width","Petal_Length","Petal_Width","Species","Sepal_Ratio"
"84",6,2.7,5.1,1.6,"versicolor",2.22222222222222
"85",5.4,3,4.5,1.5,"versicolor",1.8
"86",6,3.4,4.5,1.6,"versicolor",1.76470588235294
"87",6.7,3.1,4.7,1.5,"versicolor",2.16129032258065
"88",6.3,2.3,4.4,1.3,"versicolor",2.73913043478261
"89",5.6,3,4.1,1.3,"versicolor",1.86666666666667
"90",5.5,2.5,4,1.3,"versicolor",2.2
"91",5.5,2.6,4.4,1.2,"versicolor",2.11538461538462
"92",6.1,3,4.6,1.4,"versicolor",2.03333333333333
"93",5.8,2.6,4,1.2,"versicolor",2.23076923076923
"94",5,2.3,3.3,1,"versicolor",2.17391304347826
"95",5.6,2.7,4.2,1.3,"versicolor",2.07407407407407
"96",5.7,3,4.2,1.2,"versicolor",1.9
"97",5.7,2.9,4.2,1.3,"versicolor",1.96551724137931
"98",6.2,2.9,4.3,1.3,"versicolor",2.13793103448276
"99",5.1,2.5,3,1.1,"versicolor",2.04
"100",5.7,2.8,4.1,1.3,"versicolor",2.03571428571429
"101",6.3,3.3,6,2.5,"virginica",1.90909090909091
"102",5.8,2.7,5.1,1.9,"virginica",2.14814814814815
"103",7.1,3,5.9,2.1,"virginica",2.36666666666667
"104",6.3,2.9,5.6,1.8,"virginica",2.17241379310345
"105",6.5,3,5.8,2.2,"virginica",2.16666666666667
"106",7.6,3,6.6,2.1,"virginica",2.53333333333333
"107",4.9,2.5,4.5,1.7,"virginica",1.96
"108",7.3,2.9,6.3,1.8,"virginica",2.51724137931034
"109",6.7,2.5,5.8,1.8,"virginica",2.68
"110",7.2,3.6,6.1,2.5,"virginica",2
"111",6.5,3.2,5.1,2,"virginica",2.03125
"112",6.4,2.7,5.3,1.9,"virginica",2.37037037037037
"113",6.8,3,5.5,2.1,"virginica",2.26666666666667
"114",5.7,2.5,5,2,"virginica",2.28
"115",5.8,2.8,5.1,2.4,"virginica",2.07142857142857
"116",6.4,3.2,5.3,2.3,"virginica",2
"117",6.5,3,5.5,1.8,"virginica",2.16666666666667
"118",7.7,3.8,6.7,2.2,"virginica",2.02631578947368
"119",7.7,2.6,6.9,2.3,"virginica",2.96153846153846
"120",6,2.2,5,1.5,"virginica",2.72727272727273
"121",6.9,3.2,5.7,2.3,"virginica",2.15625
"122",5.6,2.8,4.9,2,"virginica",2
"123",7.7,2.8,6.7,2,"virginica",2.75
"124",6.3,2.7,4.9,1.8,"virginica",2.33333333333333
"125",6.7,3.3,5.7,2.1,"virginica",2.03030303030303
"126",7.2,3.2,6,1.8,"virginica",2.25
"127",6.2,2.8,4.8,1.8,"virginica",2.21428571428571
"128",6.1,3,4.9,1.8,"virginica",2.03333333333333
"129",6.4,2.8,5.6,2.1,"virginica",2.28571428571429
"130",7.2,3,5.8,1.6,"virginica",2.4
"131",7.4,2.8,6.1,1.9,"virginica",2.64285714285714
"132",7.9,3.8,6.4,2,"virginica",2.07894736842105
"133",6.4,2.8,5.6,2.2,"virginica",2.28571428571429
"134",6.3,2.8,5.1,1.5,"virginica",2.25
"135",6.1,2.6,5.6,1.4,"virginica",2.34615384615385
"136",7.7,3,6.1,2.3,"virginica",2.56666666666667
"137",6.3,3.4,5.6,2.4,"virginica",1.85294117647059
"138",6.4,3.1,5.5,1.8,"virginica",2.06451612903226
"139",6,3,4.8,1.8,"virginica",2
"140",6.9,3.1,5.4,2.1,"virginica",2.2258064516129
"141",6.7,3.1,5.6,2.4,"virginica",2.16129032258065
"142",6.9,3.1,5.1,2.3,"virginica",2.2258064516129
"143",5.8,2.7,5.1,1.9,"virginica",2.14814814814815
"144",6.8,3.2,5.9,2.3,"virginica",2.125
"145",6.7,3.3,5.7,2.5,"virginica",2.03030303030303
"146",6.7,3,5.2,2.3,"virginica",2.23333333333333
"147",6.3,2.5,5,1.9,"virginica",2.52
"148",6.5,3,5.2,2,"virginica",2.16666666666667
"149",6.2,3.4,5.4,2.3,"virginica",1.82352941176471
"150",5.9,3,5.1,1.8,"virginica",1.96666666666667
